keys,it,en,es
LEVEL_6_5_TITLE,Ogni Frammento al Suo Posto,Every Fragment in Its Place,Cada Fragmento en Su Lugar
LEVEL_6_6_TITLE,Il Peso della Conoscenza,The Weight of Knowledge,El Peso del Conocimiento
LEVEL_6_7_TITLE,La Memoria Completa,The Complete Memory,La Memoria Completa
LEVEL_6_8_TITLE,"Ciò che l'Archivio Nasconde",What the Archive Conceals,Lo que el Archivo Oculta
LEVEL_6_9_TITLE,Il Prezzo del Sapere,The Price of Knowing,El Precio del Saber
LEVEL_6_10_TITLE,"Oltre l'Ultima Pagina",Beyond the Last Page,"Más Allá de la Última Página"
LEVEL_6_11_TITLE,"La Scelta dell'Archivista","The Archivist's Choice","La Elección del Archivista"
LEVEL_6_12_TITLE,Il Cerchio si Chiude,The Circle Closes,El Círculo se Cierra
LEVEL_6_13_TITLE,Dove Tutto Convergeva,Where All Things Converged,Donde Todo Convergía
LEVEL_6_14_TITLE,"L'Ordine Ritrovato",Order Reclaimed,El Orden Recuperado
LEVEL_6_15_TITLE,La Verità delle Tavole,The Truth of the Tablets,La Verdad de las Tablas
LEVEL_6_16_TITLE,Il Sigillo Definitivo,The Final Seal,El Sello Definitivo
LEVEL_6_17_TITLE,"L'Archivista Ricorda",The Archivist Remembers,El Archivista Recuerda
LEVEL_6_18_TITLE,La Fine della Polvere,The End of Dust,El Fin del Polvo
LEVEL_6_19_TITLE,"L'Ultima Tavola di Ashan",The Last Tablet of Ashan,La Última Tabla de Ashan
LEVEL_6_20_TITLE,Ciò che Non Doveva Essere Trovato,What Should Not Have Been Found,Lo que No Debía Ser Hallado
